11:45:15.941 [SpringApplicationShutdownHook] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:218, serverValue:145791}] to ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017
11:45:50.588 [main] INFO  n.e.JournalApp.JournalApplication - Starting JournalApplication using Java 17.0.16 on priyanshu with PID 3224 (C:\Users\lenovo\Downloads\JournalApp\JournalApp\target\classes started by lenovo in C:\Users\lenovo\Downloads\JournalApp\JournalApp)
11:45:50.593 [main] INFO  n.e.JournalApp.JournalApplication - The following 1 profile is active: "dev"
11:45:52.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
11:45:52.794 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 91 ms. Found 2 MongoDB repository interfaces.
11:45:54.506 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
11:45:54.526 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11:45:54.533 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:45:54.533 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
11:45:54.826 [main] INFO  o.a.c.c.C.[.[localhost].[/_journal] - Initializing Spring embedded WebApplicationContext
11:45:54.827 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4132 ms
11:45:56.055 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.16+8", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sharma_priyanshu', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@62f11ebb]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.00beyc0.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-jgfo37-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
11:45:56.961 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
11:45:57.104 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017 to client view of cluster
11:45:57.155 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017 to client view of cluster
11:45:57.159 [cluster-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017 to client view of cluster
11:45:57.174 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@617449dd from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-7fti1kk-shard-00-02.00beyc0.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
11:45:58.297 [cluster-rtt-ClusterId{value='6a5cff43102a56085b2f6dad', description='null'}-ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:140501}] to ac-7fti1kk-shard-00-00.00beyc0.mongodb.net:27017
