10:42:02.595 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.JournalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader
10:42:02.634 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.JournalApp.repository.UserRepositoryImplTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:42:02.636 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.JournalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:42:03.099 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.JournalApp.JournalApplication for test class net.engineeringdigest.JournalApp.repository.UserRepositoryImplTests
10:42:03.425 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
10:42:03.481 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6f8f9349, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75c9e76b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7446d8d5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c3b6c6e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4fbda97b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75f5fd58, org.springframework.test.context.transaction.TransactionalTestExecutionListener@37b70343, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@306851c7, org.springframework.test.context.event.EventPublishingTestExecutionListener@12bcd0c0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4879f0f2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@47db5fa5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@354fc8f0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41813449, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4678a2eb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5b43fbf6]
10:42:04.504 [main] INFO  n.e.J.r.UserRepositoryImplTests - Starting UserRepositoryImplTests using Java 17.0.16 on priyanshu with PID 10180 (started by lenovo in C:\Users\lenovo\Downloads\JournalApp\JournalApp)
10:42:04.505 [main] INFO  n.e.J.r.UserRepositoryImplTests - The following 1 profile is active: "dev"
10:42:05.898 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
10:42:06.035 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 126 ms. Found 3 MongoDB repository interfaces.
10:42:07.461 [cluster-ClusterId{value='6a662acf8e3bd25973b72b4d', description='null'}-srv-cluster0.00beyc0.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-7fti1kk-shard-00-01.00beyc0.mongodb.net:27017 to client view of cluster
